[   18390ms] [WARNING] AG Grid: warning #29 tried to call sizeColumnsToFit() but the grid is coming back with zero width, maybe the grid is not visible yet on the screen? 
See https://www.ag-grid.com/javascript-data-grid/errors/29?_version_=34.2.0 @ http://127.0.0.1:8001/_nicegui/3.12.1/esm/3bacee81d94ad4f90becff832b897bfb/index.js:0
[  529220ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  539520ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  547777ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  558623ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  567415ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  576234ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  587609ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  598398ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  607464ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  618787ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  626326ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  633993ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  642036ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  651423ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  660421ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  671924ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  682396ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  692732ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  701445ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  712221ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  722074ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  730157ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  739821ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  747368ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  755309ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
